Folder,Bytes Size,Short Size 
php-test,33778,33.0KB 
IccheWeb,12242330,11.7MB 
public,22912189,21.9MB 
saklayen_html,27977924,26.7MB 
mn_apps,33517486,32.0MB 
deloitte,34940382,33.3MB 
hospital,46801960,44.6MB 
nufhas,47550717,45.3MB 
iccheJob,103531545,98.7MB 
ruaaa,212548820,202.7MB 
moodle,223619873,213.3MB 
moodle-dev,225961714,215.5MB 
lab,232828077,222.0MB 
saklayen,281844502,268.8MB 
nmc,329620091,314.4MB 
labmanagement,339814498,324.1MB 
extra--,486828906,464.3MB 
ais,941306934,897.7MB 
MyIccheCode,2370075231,2.2GB 
